sampleid	origin	Site	Condition	Temperature_C	Time_days	Time_months	Stage	Generation
1545s19-t2D	1545B-19F3	1545	ACETATE	37	65	2	Microcosm	0
1545s19-t2E	1545B-19F3	1545	METHYL	37	65	2	Microcosm	0
1545s19-t2F	1545B-19F3	1545	METHOXY	37	65	2	Microcosm	0
1545s19-t2G	1545B-19F3	1545	ALKANES	37	65	2	Microcosm	0
1545s19-t2H	1545B-19F3	1545	LIGNIN	37	65	2	Microcosm	0
1545s51-t2A	1545B-51F3	1545	CONTROL	70	65	2	Microcosm	0
1545s51-t2B	1545B-51F3	1545	CH4	70	65	2	Microcosm	0
1545s51-t2C	1545B-51F3	1545	CO2	70	65	2	Microcosm	0
1545s51-t2D	1545B-51F3	1545	ACETATE	70	65	2	Microcosm	0
1545s51-t2E	1545B-51F3	1545	METHYL	70	65	2	Microcosm	0
1545s51-t2F	1545B-51F3	1545	METHOXY	70	65	2	Microcosm	0
1545s51-t2G	1545B-51F3	1545	ALKANES	70	65	2	Microcosm	0
1545s51-t2H	1545B-51F3	1545	LIGNIN	70	65	2	Microcosm	0
1547s19-t2A	1547B-19F2	1547	CONTROL	70	65	2	Microcosm	0
1547s19-t2B	1547B-19F2	1547	CH4	70	65	2	Microcosm	0
1547s19-t2C	1547B-19F2	1547	CO2	70	65	2	Microcosm	0
1547s19-t2D	1547B-19F2	1547	ACETATE	70	65	2	Microcosm	0
1547s19-t2E	1547B-19F2	1547	METHYL	70	65	2	Microcosm	0
1547s19-t2F	1547B-19F2	1547	METHOXY	70	65	2	Microcosm	0
1547s19-t2G	1547B-19F2	1547	ALKANES	70	65	2	Microcosm	0
1547s19-t2H	1547B-19F2	1547	LIGNIN	70	65	2	Microcosm	0
1547sD8-t2A	1547D-8R1	1547	CONTROL	80	65	2	Microcosm	0
1547sD8-t2B	1547D-8R1	1547	CH4	80	65	2	Microcosm	0
1547sD8-t2C	1547D-8R1	1547	CO2	80	65	2	Microcosm	0
1547sD8-t2D	1547D-8R1	1547	ACETATE	80	65	2	Microcosm	0
1547sD8-t2E	1547D-8R1	1547	METHYL	80	65	2	Microcosm	0
1547sD8-t2F	1547D-8R1	1547	METHOXY	80	65	2	Microcosm	0
1547sD8-t2G	1547D-8R1	1547	ALKANES	80	65	2	Microcosm	0
1547sD8-t2H	1547D-8R1	1547	LIGNIN	80	65	2	Microcosm	0
1547s2-t3A	1547B-2H2	1547	CONTROL	20	115	3	Microcosm	0
1547s2-t3B	1547B-2H2	1547	CH4	20	115	3	Microcosm	0
1547s2-t3C	1547B-2H2	1547	CO2	20	115	3	Microcosm	0
1547s2-t3D	1547B-2H2	1547	ACETATE	20	115	3	Microcosm	0
1547s2-t3E	1547B-2H2	1547	METHYL	20	115	3	Microcosm	0
1547s2-t3F	1547B-2H2	1547	METHOXY	20	115	3	Microcosm	0
1547s2-t3G	1547B-2H2	1547	ALKANES	20	115	3	Microcosm	0
1547s2-t3H	1547B-2H2	1547	LIGNIN	20	115	3	Microcosm	0
1545s1-t3A	1545B-1H2	1545	CONTROL	20	111	3	Microcosm	0
1545s1-t3B	1545B-1H2	1545	CH4	20	111	3	Microcosm	0
1545s1-t3C	1545B-1H2	1545	CO2	20	111	3	Microcosm	0
1545s1-t3D	1545B-1H2	1545	ACETATE	20	111	3	Microcosm	0
1545s1-t3E	1545B-1H2	1545	METHYL	20	111	3	Microcosm	0
1545s1-t3F	1545B-1H2	1545	METHOXY	20	111	3	Microcosm	0
1545s1-t3G	1545B-1H2	1545	ALKANES	20	111	3	Microcosm	0
1545s1-t3H	1545B-1H2	1545	LIGNIN	20	111	3	Microcosm	0
1545s8-t3A	1545B-8H2	1545	CONTROL	20	105	3	Microcosm	0
1545s8-t3B	1545B-8H2	1545	CH4	20	105	3	Microcosm	0
1545s8-t3C	1545B-8H2	1545	CO2	20	105	3	Microcosm	0
1545s8-t3D	1545B-8H2	1545	ACETATE	20	105	3	Microcosm	0
1545s8-t3E	1545B-8H2	1545	METHYL	20	105	3	Microcosm	0
1545s8-t3F	1545B-8H2	1545	METHOXY	20	105	3	Microcosm	0
1545s8-t3G	1545B-8H2	1545	ALKANES	20	105	3	Microcosm	0
1545s8-t3H	1545B-8H2	1545	LIGNIN	20	105	3	Microcosm	0
1547s1-t3A	1547B-1H2	1547	CONTROL	20	105	3	Microcosm	0
1547s1-t3B	1547B-1H2	1547	CH4	20	105	3	Microcosm	0
1547s1-t3C	1547B-1H2	1547	CO2	20	105	3	Microcosm	0
1547s1-t3D	1547B-1H2	1547	ACETATE	20	105	3	Microcosm	0
1547s1-t3E	1547B-1H2	1547	METHYL	20	105	3	Microcosm	0
1547s1-t3F	1547B-1H2	1547	METHOXY	20	105	3	Microcosm	0
1547s1-t3G	1547B-1H2	1547	ALKANES	20	105	3	Microcosm	0
1547s1-t3H	1547B-1H2	1547	LIGNIN	20	105	3	Microcosm	0
1549s1-t3A	1549B-1H2	1549	CONTROL	20	105	3	Microcosm	0
1549s1-t3B	1549B-1H2	1549	CH4	20	105	3	Microcosm	0
1549s1-t3C	1549B-1H2	1549	CO2	20	105	3	Microcosm	0
1549s1-t3D	1549B-1H2	1549	ACETATE	20	105	3	Microcosm	0
1549s1-t3E	1549B-1H2	1549	METHYL	20	105	3	Microcosm	0
1549s1-t3F	1549B-1H2	1549	METHOXY	20	105	3	Microcosm	0
1549s1-t3G	1549B-1H2	1549	ALKANES	20	105	3	Microcosm	0
1549s1-t3H	1549B-1H2	1549	LIGNIN	20	105	3	Microcosm	0
1549s6-t3A	1549B-6H2	1549	CONTROL	20	105	3	Microcosm	0
1549s6-t3B	1549B-6H2	1549	CH4	20	105	3	Microcosm	0
1549s6-t3C	1549B-6H2	1549	CO2	20	105	3	Microcosm	0
1549s6-t3D	1549B-6H2	1549	ACETATE	20	105	3	Microcosm	0
1549s6-t3E	1549B-6H2	1549	METHYL	20	105	3	Microcosm	0
1549s6-t3F	1549B-6H2	1549	METHOXY	20	105	3	Microcosm	0
1549s6-t3G	1549B-6H2	1549	ALKANES	20	105	3	Microcosm	0
1549s6-t3H	1549B-6H2	1549	LIGNIN	20	105	3	Microcosm	0
1549s12-t3A	1549B-12H2	1549	CONTROL	20	105	3	Microcosm	0
1549s12-t3B	1549B-12H2	1549	CH4	20	105	3	Microcosm	0
1549s12-t3C	1549B-12H2	1549	CO2	20	105	3	Microcosm	0
1549s12-t3D	1549B-12H2	1549	ACETATE	20	105	3	Microcosm	0
1549s12-t3E	1549B-12H2	1549	METHYL	20	105	3	Microcosm	0
1549s12-t3F	1549B-12H2	1549	METHOXY	20	105	3	Microcosm	0
1549s12-t3G	1549B-12H2	1549	ALKANES	20	105	3	Microcosm	0
1549s12-t3H	1549B-12H2	1549	LIGNIN	20	105	3	Microcosm	0
1545s19-t3A	1545B-19F3	1545	CONTROL	37	105	3	Microcosm	0
1545s19-t3B	1545B-19F3	1545	CH4	37	105	3	Microcosm	0
1545s19-t3C	1545B-19F3	1545	CO2	37	105	3	Microcosm	0
1545s19-t3D	1545B-19F3	1545	ACETATE	37	105	3	Microcosm	0
1545s19-t3E	1545B-19F3	1545	METHYL	37	105	3	Microcosm	0
1545s19-t3F	1545B-19F3	1545	METHOXY	37	105	3	Microcosm	0
1545s19-t3G	1545B-19F3	1545	ALKANES	37	105	3	Microcosm	0
1545s19-t3H	1545B-19F3	1545	LIGNIN	37	105	3	Microcosm	0
1545s51-t3A	1545B-51F3	1545	CONTROL	70	105	3	Microcosm	0
1545s51-t3B	1545B-51F3	1545	CH4	70	105	3	Microcosm	0
1545s51-t3C	1545B-51F3	1545	CO2	70	105	3	Microcosm	0
1545s51-t3D	1545B-51F3	1545	ACETATE	70	105	3	Microcosm	0
1545s51-t3E	1545B-51F3	1545	METHYL	70	105	3	Microcosm	0
1545s51-t3F	1545B-51F3	1545	METHOXY	70	105	3	Microcosm	0
1545s51-t3G	1545B-51F3	1545	ALKANES	70	105	3	Microcosm	0
1545s51-t3H	1545B-51F3	1545	LIGNIN	70	105	3	Microcosm	0
1547s19-t3A	1547B-19F2	1547	CONTROL	70	105	3	Microcosm	0
1547s19-t3B	1547B-19F2	1547	CH4	70	105	3	Microcosm	0
1547s19-t3C	1547B-19F2	1547	CO2	70	105	3	Microcosm	0
1547s19-t3D	1547B-19F2	1547	ACETATE	70	105	3	Microcosm	0
1547s19-t3E	1547B-19F2	1547	METHYL	70	105	3	Microcosm	0
1547s19-t3F	1547B-19F2	1547	METHOXY	70	105	3	Microcosm	0
1547s19-t3G	1547B-19F2	1547	ALKANES	70	105	3	Microcosm	0
1547s19-t3H	1547B-19F2	1547	LIGNIN	70	105	3	Microcosm	0
1547sD8-t3A	1547D-8R1	1547	CONTROL	80	105	3	Microcosm	0
1547sD8-t3B	1547D-8R1	1547	CH4	80	105	3	Microcosm	0
1547sD8-t3C	1547D-8R1	1547	CO2	80	105	3	Microcosm	0
1547sD8-t3D	1547D-8R1	1547	ACETATE	80	105	3	Microcosm	0
1547sD8-t3E	1547D-8R1	1547	METHYL	80	105	3	Microcosm	0
1547sD8-t3F	1547D-8R1	1547	METHOXY	80	105	3	Microcosm	0
1547sD8-t3G	1547D-8R1	1547	ALKANES	80	105	3	Microcosm	0
1547sD8-t3H	1547D-8R1	1547	LIGNIN	80	105	3	Microcosm	0
1547s2-t7A	1547B-2H2	1547	CONTROL	20	215	7	Microcosm	0
1547s2-t7B	1547B-2H2	1547	CH4	20	215	7	Microcosm	0
1547s2-t7C	1547B-2H2	1547	CO2	20	215	7	Microcosm	0
1547s2-t7D	1547B-2H2	1547	ACETATE	20	215	7	Microcosm	0
1547s2-t7E	1547B-2H2	1547	METHYL	20	215	7	Microcosm	0
1547s2-t7F	1547B-2H2	1547	METHOXY	20	215	7	Microcosm	0
1547s2-t7G	1547B-2H2	1547	ALKANES	20	215	7	Microcosm	0
1547s2-t7H	1547B-2H2	1547	LIGNIN	20	215	7	Microcosm	0
1545s1-t7A	1545B-1H2	1545	CONTROL	20	211	7	Microcosm	0
1545s1-t7B	1545B-1H2	1545	CH4	20	211	7	Microcosm	0
